final_row_index_0_based,interval_id,model_family,run_version,interval_number,start_round,end_round
0,DeepSeek-V3__V1__I001,DeepSeek-V3,V1,1,1,10
1,DeepSeek-V3__V1__I002,DeepSeek-V3,V1,2,11,20
2,DeepSeek-V3__V1__I003,DeepSeek-V3,V1,3,21,30
3,DeepSeek-V3__V1__I004,DeepSeek-V3,V1,4,31,40
4,DeepSeek-V3__V1__I005,DeepSeek-V3,V1,5,41,50
5,DeepSeek-V3__V1__I006,DeepSeek-V3,V1,6,51,60
6,DeepSeek-V3__V1__I007,DeepSeek-V3,V1,7,61,70
7,DeepSeek-V3__V1__I008,DeepSeek-V3,V1,8,71,80
8,DeepSeek-V3__V1__I009,DeepSeek-V3,V1,9,81,90
9,DeepSeek-V3__V1__I010,DeepSeek-V3,V1,10,91,100
10,DeepSeek-V3__V1__I011,DeepSeek-V3,V1,11,101,110
11,DeepSeek-V3__V1__I012,DeepSeek-V3,V1,12,111,120
12,DeepSeek-V3__V1__I013,DeepSeek-V3,V1,13,121,130
13,DeepSeek-V3__V1__I014,DeepSeek-V3,V1,14,131,140
14,DeepSeek-V3__V1__I015,DeepSeek-V3,V1,15,141,150
15,DeepSeek-V3__V1__I016,DeepSeek-V3,V1,16,151,160
16,DeepSeek-V3__V1__I017,DeepSeek-V3,V1,17,161,170
17,DeepSeek-V3__V1__I018,DeepSeek-V3,V1,18,171,180
18,DeepSeek-V3__V1__I019,DeepSeek-V3,V1,19,181,190
19,DeepSeek-V3__V1__I020,DeepSeek-V3,V1,20,191,200
20,DeepSeek-V3__V1__I021,DeepSeek-V3,V1,21,201,210
21,DeepSeek-V3__V1__I022,DeepSeek-V3,V1,22,211,220
22,DeepSeek-V3__V1__I023,DeepSeek-V3,V1,23,221,230
23,DeepSeek-V3__V1__I024,DeepSeek-V3,V1,24,231,240
24,DeepSeek-V3__V1__I025,DeepSeek-V3,V1,25,241,250
25,DeepSeek-V3__V1__I026,DeepSeek-V3,V1,26,251,260
26,DeepSeek-V3__V1__I027,DeepSeek-V3,V1,27,261,270
27,DeepSeek-V3__V1__I028,DeepSeek-V3,V1,28,271,280
28,DeepSeek-V3__V1__I029,DeepSeek-V3,V1,29,281,290
29,DeepSeek-V3__V1__I030,DeepSeek-V3,V1,30,291,300
30,DeepSeek-V3__V1__I031,DeepSeek-V3,V1,31,301,310
31,DeepSeek-V3__V1__I032,DeepSeek-V3,V1,32,311,320
32,DeepSeek-V3__V1__I033,DeepSeek-V3,V1,33,321,330
33,DeepSeek-V3__V1__I034,DeepSeek-V3,V1,34,331,340
34,DeepSeek-V3__V1__I035,DeepSeek-V3,V1,35,341,350
35,DeepSeek-V3__V1__I036,DeepSeek-V3,V1,36,351,360
36,DeepSeek-V3__V1__I037,DeepSeek-V3,V1,37,361,370
37,DeepSeek-V3__V1__I038,DeepSeek-V3,V1,38,371,380
38,DeepSeek-V3__V1__I039,DeepSeek-V3,V1,39,381,390
39,DeepSeek-V3__V1__I040,DeepSeek-V3,V1,40,391,400
40,DeepSeek-V3__V1__I041,DeepSeek-V3,V1,41,401,410
41,DeepSeek-V3__V1__I042,DeepSeek-V3,V1,42,411,420
42,DeepSeek-V3__V1__I043,DeepSeek-V3,V1,43,421,430
43,DeepSeek-V3__V1__I044,DeepSeek-V3,V1,44,431,440
44,DeepSeek-V3__V1__I045,DeepSeek-V3,V1,45,441,450
45,DeepSeek-V3__V1__I046,DeepSeek-V3,V1,46,451,460
46,DeepSeek-V3__V1__I047,DeepSeek-V3,V1,47,461,470
47,DeepSeek-V3__V1__I048,DeepSeek-V3,V1,48,471,480
48,DeepSeek-V3__V1__I049,DeepSeek-V3,V1,49,481,490
49,DeepSeek-V3__V1__I050,DeepSeek-V3,V1,50,491,500
50,DeepSeek-V3__V1__I051,DeepSeek-V3,V1,51,501,510
51,DeepSeek-V3__V1__I052,DeepSeek-V3,V1,52,511,520
52,DeepSeek-V3__V1__I053,DeepSeek-V3,V1,53,521,530
53,DeepSeek-V3__V1__I054,DeepSeek-V3,V1,54,531,540
54,DeepSeek-V3__V1__I055,DeepSeek-V3,V1,55,541,550
55,DeepSeek-V3__V1__I056,DeepSeek-V3,V1,56,551,560
56,DeepSeek-V3__V1__I057,DeepSeek-V3,V1,57,561,570
57,DeepSeek-V3__V1__I058,DeepSeek-V3,V1,58,571,580
58,DeepSeek-V3__V1__I059,DeepSeek-V3,V1,59,581,590
59,DeepSeek-V3__V1__I060,DeepSeek-V3,V1,60,591,600
60,DeepSeek-V3__V1__I061,DeepSeek-V3,V1,61,601,610
61,DeepSeek-V3__V1__I062,DeepSeek-V3,V1,62,611,620
62,DeepSeek-V3__V1__I063,DeepSeek-V3,V1,63,621,630
63,DeepSeek-V3__V1__I064,DeepSeek-V3,V1,64,631,640
