model_family,variable,measure,value
DeepSeek-V3,run_identity,adjusted_mutual_information,0.3872986151277688
DeepSeek-V3,interaction_phase_1_33_34_66_67_100,adjusted_mutual_information,0.1384723111163488
GPT-4o-mini,run_identity,adjusted_mutual_information,0.3307677054600124
GPT-4o-mini,interaction_phase_1_33_34_66_67_100,adjusted_mutual_information,0.0836030524102764
Phi-4,run_identity,adjusted_mutual_information,0.2024712044954375
Phi-4,interaction_phase_1_33_34_66_67_100,adjusted_mutual_information,0.0043819818389112
GPT-5.6 Terra,run_identity,adjusted_mutual_information,1.0
GPT-5.6 Terra,interaction_phase_1_33_34_66_67_100,adjusted_mutual_information,-0.0061611620395816
Claude Sonnet,run_identity,adjusted_mutual_information,0.7326451023952699
Claude Sonnet,interaction_phase_1_33_34_66_67_100,adjusted_mutual_information,-0.0038877949347162
