model_family,k,mean_cosine_silhouette,median_cosine_silhouette,best_fit_cosine_silhouette,worst_fit_cosine_silhouette,mean_cosine_loss,best_cosine_loss,best_seed,best_solution_silhouette,best_solution_minimum_cluster_size,best_solution_maximum_cluster_size,best_solution_size_ratio,best_solution_size_cv,median_pairwise_ari,mean_pairwise_ari,minimum_pairwise_ari,maximum_pairwise_ari,all_seeds_converged,nonpathological_minimum_size,within_silhouette_tie_band,stable_reference_ari,selected_primary_k,n_initializations,n_pairwise_ari
DeepSeek-V3,2,0.282630090678449,0.2787819636071287,0.4570029514634802,0.2569557913235242,29.472872684399288,29.262953102588654,0,0.2787819636071287,99,201,2.0303030303030303,0.34,0.174259362376237,0.4208683620707304,-0.0806233836698537,1.0,True,True,False,False,False,30,435
DeepSeek-V3,3,0.3119497064476351,0.3089607119930777,0.3437808636085872,0.2787426577488863,25.311836288372675,25.056087374687195,12,0.3064305497715751,56,153,2.732142857142857,0.401081870279207,0.719754120931042,0.6834354564968393,0.1321215862004902,1.0,True,True,False,False,False,30,435
DeepSeek-V3,4,0.3259566178849473,0.3754839272502402,0.3782357578215843,0.1629810154955327,22.32452512582143,21.73811310529709,29,0.3764611230071076,23,170,7.391304347826087,0.7502888332724493,0.736982953822724,0.7530922992621931,0.3231214230110008,1.0,True,True,True,False,True,30,435
DeepSeek-V3,5,0.2612639184697334,0.2495306270053679,0.3515229003741545,0.1122969944208564,20.814710893233617,20.359389066696167,2,0.2924021817538517,21,145,6.904761904761905,0.7302967433402215,0.5783896764744627,0.6276507005882608,0.2811175791566273,1.0,True,True,False,False,False,30,435
DeepSeek-V3,6,0.2484973468156718,0.2484667541989853,0.3498917222638694,0.1809323164910705,19.65081316033999,19.244442522525787,0,0.2551361872257021,21,88,4.190476190476191,0.4156921938165305,0.588297058596102,0.5948411436442271,0.3286923171519045,0.9944075820928678,True,True,False,False,False,30,435
DeepSeek-V3,7,0.2436785313229913,0.2430159379505574,0.323935728514787,0.1833051380006636,18.919052165746688,18.42679333686829,0,0.2488668911179418,21,88,4.190476190476191,0.4896710914254361,0.5632897361375329,0.573629252533559,0.326974109357589,0.9576672371536225,True,True,False,False,False,30,435
DeepSeek-V3,8,0.2462475796388849,0.2483770716389348,0.2716313564196403,0.1938813992829808,17.984557056427,17.59531033039093,26,0.2716313564196403,14,85,6.071428571428571,0.5658425379712785,0.6704875249464519,0.6743723633089149,0.3477769914177833,0.9789044717359175,True,True,False,False,False,30,435
DeepSeek-V3,9,0.2459177903474058,0.242039720666021,0.2730708626507372,0.1943093341117059,17.395496227343877,16.808419227600098,21,0.2707855929528905,15,50,3.333333333333333,0.3566510900025401,0.6582991815653656,0.6654922579735539,0.3212321422546277,0.9589163789959372,True,True,False,False,False,30,435
DeepSeek-V3,10,0.2448048890908025,0.2491974505751005,0.2771038608426189,0.197125639609449,16.787750047445297,16.173570215702057,12,0.2706312912109785,10,50,5.0,0.4807401700618652,0.6751329153891349,0.6807833883580398,0.414964399159864,0.9337445198046838,True,True,False,False,False,30,435
GPT-4o-mini,2,0.5408407967396199,0.54084079673962,0.54084079673962,0.54084079673962,19.331019043922424,19.331019043922424,0,0.54084079673962,102,198,1.9411764705882355,0.32,1.0,1.0,1.0,1.0,True,True,True,True,True,30,435
GPT-4o-mini,3,0.454187103434356,0.4582318355104078,0.4612326946414646,0.3718479469025716,16.343738130728404,16.162437319755554,0,0.4586716836752461,99,101,1.02020202020202,0.0081649658092772,0.9800700550257292,0.882700862144959,0.474763439651663,1.0,True,True,False,True,False,30,435
