final_row_index_0_based,interval_id,model_family,run_version,interval_number,start_round,end_round,family_row_index_0_based,cluster,cosine_similarity_to_assigned_centroid,cosine_distance_to_assigned_centroid
0,DeepSeek-V3__V1__I001,DeepSeek-V3,V1,1,1,10,0,1,0.8316000369653711,0.1683999630346289
1,DeepSeek-V3__V1__I002,DeepSeek-V3,V1,2,11,20,1,1,0.8702509678274029,0.1297490321725971
2,DeepSeek-V3__V1__I003,DeepSeek-V3,V1,3,21,30,2,1,0.8638808873400614,0.1361191126599386
3,DeepSeek-V3__V1__I004,DeepSeek-V3,V1,4,31,40,3,1,0.8764269349931427,0.1235730650068572
4,DeepSeek-V3__V1__I005,DeepSeek-V3,V1,5,41,50,4,1,0.8541331327766295,0.1458668672233705
5,DeepSeek-V3__V1__I006,DeepSeek-V3,V1,6,51,60,5,1,0.9186846477540344,0.0813153522459655
6,DeepSeek-V3__V1__I007,DeepSeek-V3,V1,7,61,70,6,1,0.9429908513366044,0.0570091486633956
7,DeepSeek-V3__V1__I008,DeepSeek-V3,V1,8,71,80,7,1,0.9341636736022216,0.0658363263977783
8,DeepSeek-V3__V1__I009,DeepSeek-V3,V1,9,81,90,8,1,0.9441380502261524,0.0558619497738476
9,DeepSeek-V3__V1__I010,DeepSeek-V3,V1,10,91,100,9,1,0.9311398835877712,0.0688601164122288
10,DeepSeek-V3__V1__I011,DeepSeek-V3,V1,11,101,110,10,1,0.948755302546708,0.0512446974532919
11,DeepSeek-V3__V1__I012,DeepSeek-V3,V1,12,111,120,11,1,0.9171018145204362,0.0828981854795638
12,DeepSeek-V3__V1__I013,DeepSeek-V3,V1,13,121,130,12,1,0.923480648764317,0.0765193512356829
13,DeepSeek-V3__V1__I014,DeepSeek-V3,V1,14,131,140,13,1,0.9597146486796452,0.0402853513203547
14,DeepSeek-V3__V1__I015,DeepSeek-V3,V1,15,141,150,14,1,0.936252443474371,0.063747556525629
15,DeepSeek-V3__V1__I016,DeepSeek-V3,V1,16,151,160,15,1,0.9218708748323474,0.0781291251676525
